POI Id,Name,Favourite dish of your college,Largest value food order at your college,unofficial campus favorite restaurant,The official 12 AM craving / dish,Max number of orders in a week for a student in your college,Highest number of pizzas ordered on a single day,Highest number of biryanis ordered on a single day
7700244c-3172-48a2-bfae-c179743be764,National Institute of Technology Jamshedpur,biryani,4007,Kolkata Biryani - Jugsalai,pizza,11,62,170
0c321e5b-fd7a-41cd-829c-d3fc560f5ae2,GMERS Medical College & Hospital,thali,12211,Jagdish Foods Pvt Ltd,pizza,23,44,25
d5794465-4363-415d-9aa1-0a63d5b82845,Indian School Of Business Mohali,roll,10416,McDonald's,pizza,22,30,21
d5056e58-2d7f-4aef-9ecb-c89a4858d7f0,IIT Roorkee - II,roll,4677,Tanishas Royal Hyderabadi Biryani,pizza,13,27,54
c0e3lvo9tt4h2ptrvgrg,IIM Bangalore,biryani,17968,California Burrito,burger,20,23,44
42b2a48d-ba4e-4cf3-a829-3e10f56512f5,Aligarh Muslim University,burger,8197,Sher E Punjab,burger,13,36,40
34f759bb-0766-4ed1-953a-4986e61b359f,Indian Institute of Science Education and Research Mohali,pizza,8705,Rominus Pizza And Burger,pizza,16,59,22
5401c47c-0da7-4591-a529-a5eed62d4680,KLE University,biryani,7642,Domino's Pizza,pizza,17,23,57
753d7ed9-904c-4f4d-8300-f5637f1c049c,AIIMS Bhopal,biryani,7932,Burger King,burger,16,23,52
7ee99302-341b-4d00-b995-728c4504c4c8,Kalinga Institute of Industrial Technology 1,biryani,5505,Burger King,burger,18,22,82
bui5vm6pej7fsal2q0f0,Maulana Azad Medical College (MAMC),biryani,15147,Burger King,burger,25,27,39
c0e3jp89tt4h2ptrvesg,Gandhi Medical College & Hospital,biryani,12334,Bawarchi,biryani,18,14,77
83bdb22f-bdbc-443f-811b-51303c93fcaa,AIIMS Mangalgiri,biryani,6983,Andhra's ButtaBhojanam,burger,16,14,42
bui61v2stu3qr1u8f89g,Delhi Technological University,burger,5609,Punjabi Angithi (Vegorama Group),burger,13,37,22
52485f7a-7513-49d8-9b38-94a6bb1cbfb9,Assam Medical College,biryani,8084,Fusian Asiana- MFC,pizza,13,25,58
ba289630-7788-44c7-b8aa-3612d12b1666,Punjab Agricultural University,pizza,10120,Captain Sam's Pizza,pizza,19,38,14
c0delo0mlbnfmjbvfvt0,IIM Mumbai,burger,6677,McDonald's,burger,25,29,28
202fa75d-3f24-4c05-b170-e78a87d7b52b,King Edward Memorial Hospital and Seth Gordhandas Sunderdas Medical College,burger,9699,McDonald's,burger,25,21,30
528dcdc6-b327-44c1-b356-ef56f6920d07,National Institute of Mental Health and Neurosciences,biryani,15600,A2B - Adyar Ananda Bhavan,pizza,32,16,40
7e575cdf-6c4b-4d9e-b211-c9caea932ad7,Netaji Subhas University of Technology,burger,9449,Burger King,burger,14,32,21
964c0d05-82ac-4b64-8e39-0dfb82e3995c,IIM Kozhikode,burger,14011,KFC,burger,17,14,18
cf8975fd-af10-4303-8041-eefd56d7af9d,IIM Calcutta,biryani,10393,Domino's Pizza,pizza,20,36,32
3e9af667-367d-494a-837a-02a6fd806a82,Father Muller Medical College,biryani,5180,Cochin Village Restaurant,burger,15,17,43
500cae3b-32b1-49a3-9e25-b0ed24bd3965,IIT Kanpur,biryani,11294,Domino's Pizza,pizza,16,47,80
c0v8dqbnrs5psrn7j3o0,Government Medical Dental College and Civil Hospital,burger,8672,McDonald's,burger,15,37,23
334f4569-1071-484c-bc28-9dff0972c789,Indore Institute of Management & Research (IIMR Indore),burger,5502,McDonald's,burger,19,24,27
c21c62cb-9e28-453e-92fb-618b5c976ac4,NIT Warangal,biryani,6600,Domino's Pizza,biryani,21,32,145
c0dev3omlbnfmjbvg8q0,Saveetha Institute of Medical And Technical Sciences,biryani,9592,McDonald's,other_dry_starters,21,18,39
3362c358-cd71-4eee-a1f2-7613913d25a6,Lady Hardinge Medical College & Hospital,burger,13125,McDonald's,burger,19,17,25
91e286f5-4251-40b6-94cc-7924f341ccd1,Travancore Medicity Medical College Hospital,biryani,7360,AL Hayat Pallimukku,burger,21,21,29
c656bc70-8446-4931-be26-17de76805ef3,Topiwala National Medical College & BYL Nair Charitable Hospital,burger,11145,McDonald's,burger,20,16,29
fc5ac7a7-8105-49c2-86df-b2446eadf19d,Government Medical & Dental College Nagpur,biryani,16824,Burger King,burger,17,25,43
b5e828be-9ef2-41e4-add4-1fd57a79b0b6,Sanjay Gandhi Postgraduate Institute of Medical Sciences(SGPGI),pizza,8865,Madhurima Veg,pizza,19,28,20
d111f70b-cf21-4e7b-afc3-29984bb34456,Geetanjali University,pizza,8603,Burger Farm,curry,16,29,15
c8c562c9-af0c-44cf-b609-379f8acc7077,Jubilee Mission Medical College and Research Institute,burger,4524,Thomson's Casa,burger,21,8,27
a0207eb4-d040-423c-a78c-5bad3192d9a5,Sri Padmavathi Medical College for Women,biryani,2898,Di Table 9 New,biryani,22,21,108
aafc52c4-e135-4f64-8d71-021c0ad2e9d9,AJ Hospital & Research Centre,biryani,8505,Pabbas Ideal Cafe,burger,18,14,39
080a6876-b66b-4ef2-be52-4a7edc4921fa,Savitribai Phule Pune University,burger,13068,Burger King,burger,21,21,26
5d30eb47-6519-4009-9b34-3115e09877d1,AIIMS Rishikesh,burger,9482,Sarrva Cafe,,23,14,9
61e5eb77-2825-4209-8795-eb24352bf078,School of Planning and Architecture Vijayawada (SPA),biryani,9530,Bengaluru Bhavan,burger,24,18,36
25409647-40a8-44ac-81e8-4500e5d4d9c3,Mahindra University,biryani,12233,Pista House,biryani,8,20,46
250ae107-03f8-4b95-beba-53f2cd21716c,Symboisis IU Pune,burger,17230,McDonald's,burger,12,17,17
9c401090-b12b-47a8-82ce-9e54bc0cf1b7,SVIMS I,biryani,5337,Di Table 9 New,biryani,44,15,86
0dbd97cb-0410-4b7d-b142-98ffce6f4cbf,ESIC Medical College And Hospital,biryani,10899,Mehfil,biryani,19,13,40
4c2538cf-7538-41f9-afaa-a44095bdf76c,PSG Institute of Management,biryani,24112,Ss Hyderabad Biryani,other_dry_starters,13,14,66
c1fa9e5a-eebd-4b1f-9c24-7cd932136044,Institute of Management Technology Ghaziabad,pizza,10838,Domino's Pizza,pizza,16,27,24
bf7636ee-01a9-4a59-b624-acd74f035f7c,Dr Ram Manohar Lohiya National Law University,pizza,4239,Rominus Pizza And Burger,pizza,18,35,28
985657e6-4774-497d-918f-93c15da3c00b,Sardar Vallabhbhai National Institute of Technology (SVNIT),biryani,5316,Delhi Dastarkhwan Restaurant,burger,17,20,36
224e7022-e609-464b-b817-1ef16ed6def5,AIIMS Patna,biryani,8199,Bikkgane Biryani,pizza,19,23,36
acbebf91-e23f-409f-bea0-2f18fd6dc6cd,NIT Trichy,burger,6429,KFC,pizza,11,31,30
a359c6db-9374-4d24-83bc-4d8fec0ede34,Government Medical College Baroda,pizza,10303,Chai CupPi,pizza,18,50,21
2c5d457a-45e2-4e8d-9883-fdba63e78f76,XLRI Xavier School of Management,burger,5212,McDonald's,burger,14,16,23
c0cpeo89tt4h2ptru08g,Osmania University,biryani,5061,Bawarchi,biryani,11,10,233
05497de6-f0e0-4894-94f4-8fd1a933f52b,National Institute of Science Education and Research(NISER Bhubaneswar),pizza,6819,The Chopsticks,pizza,16,31,43
4f86cf8f-9265-47a3-8b5d-8ece1398c70f,Pandit Bhagwat Dayal Sharma Post Graduate Institute of Medical Sciences(PGIMS),pizza,6120,Burger King,burger,27,37,13
c4cf51eb-ab78-494d-bb02-958ca2077637,National Law School of India University(NLSIU),burger,11466,California Burrito,burger,19,24,19
96d2ca8f-2531-4a0c-bd3d-4e85e4978ca9,AIIMS Raipur,biryani,5144,Kaaram Podi,pizza,17,21,20
36355eea-810c-4703-bd93-0274b7a0fdcd,Guru Nanak Dev Hospital & Government Medical College Amritsar,burger,4791,Burger King,burger,12,20,10
e6cb8d9d-2b4e-41d0-8c94-ccb662af443e,Nirma University,burger,4182,McDonald's,sandwich,14,20,7
991e470f-9a9c-4171-9379-2311d001fad0,AIIMS Gorakhpur,burger,7663,Burger King,burger,16,37,35
bcef797e-a83e-49f1-88d4-23208cac287d,IIT Palakkad,biryani,6712,McDonald's,burger,12,12,34
681ce606-049b-4d59-b7a4-776972cc37b1,RajaRajeswari Medical College & Hospital,biryani,6836,Domino's Pizza,pizza,12,16,28
c1e88482-9319-4939-92ca-2a12db518178,Patna University & PMCH Hospital,biryani,6955,Burger King,biryani,26,24,47
8439fcb0-7a7e-4906-b778-48d9a752e71d,Institute of Technical Education & Research(ITER),biryani,6119,Scholars,pizza,15,100,151
39e03789-9ef5-4bc4-b8a7-6e25a9b7294c,Guru Nanak Dev University & Khalsa College,burger,8566,Burger King,burger,16,26,9
3e3fe381-734e-403f-97fb-167b455eec7c,Anna University,biryani,9529,Ss Hyderabad Biryani,biryani,12,10,34
61f92bc8-2a3e-4a7e-af37-964880beb449,Government Medical College Kozhikode(GMC),biryani,4929,Top Form - Chevayoor,other_dry_starters,19,11,18
75370cb4-1c56-46d1-9c0b-44807a807ded,MGM University & Medical College Hospital,biryani,5053,McDonald's,biryani,19,17,24
cdadd8d5-b9d9-49ce-a5d9-9647da272622,IIT Bhilai,burger,8678,Burger King,burger,14,43,76
5a094e6a-5202-4664-b268-9900eabab64a,SMIMER Hospital & Medical College,burger,6386,McDonald's,shake,21,17,9
bui9qrepej7fsal2qgj0,Tata Memorial Centre,biryani,7481,"Dabba Garam (Homestyle,Combo, Thali & More)",burger,18,19,14
e50581a8-2a6f-43c8-a9a4-a73d566ea5d3,Karnataka Medical College and Research Institute,biryani,5352,Hotel Moon Light,pizza,20,16,63
4fb332cc-58f9-4c9a-9932-e520943b4ca6,National Institute of Fashion Technology,biryani,3984,Mehfil,burger,19,18,27
c0e3s1omlbnfmjbvh0pg,Osmania Medical College,biryani,12518,Grand Hotel,biryani,15,10,68
ecf310f5-1915-4676-8d9e-14538a58b21f,Vellore Institute of Technology (VIT) Chennai,burger,11335,KFC,soft_drinks,12,27,30
9f70a1bd-0670-4f57-b439-8daab43c7ff9,ABV IIITM Gwalior,burger,4407,Burger Budds,burger,13,39,17
fab790b4-5393-4709-a2ad-cafc97e69179,IIFT Kolkata,burger,7576,Rang De Basanti Dhaba,burger,14,11,8
f9a24f61-1910-4b20-9748-b1a58f3a23c2,Shimoga Institute of Medical Science,biryani,3515,Singh's Punjabi Dhaba,pizza,12,16,76
795337f5-58a2-49e0-bb03-b31f059f5633,National Institute of Technology (NIT Durgapur),biryani,7176,Domino's Pizza,pizza,12,16,71
5ab3007c-8e17-4f41-99c4-93f210881d43,Cochin University of Science and Technology-CUSAT,biryani,6741,Thaal Kitchen,other_dry_starters,16,10,19
0f8929ed-03b5-4425-880c-f1a18acecc48,Nizam's Institute Of Medical Sciences,biryani,21673,Mehfil,biryani,19,8,32
c0e47q09tt4h2pts00q0,Vydehi Institute Of Medical Sciences And Research Centre,biryani,10647,McDonald's,burger,15,12,27
brjo48ro07cs2k5c82mg,IIIT Bangalore,burger,5506,Truffles,burger,15,19,21
997c8f69-3780-45f5-b776-1ce15905f506,Bareilly International University & Rohilkhand Medical College,burger,6892,Burger King,pizza,12,22,19
1d66e3f2-a8b1-4fe2-8480-614832dc3409,National Institute of Technology Raipur (NIT Raipur),biryani,5105,Kaaram Podi,biryani,11,33,50
9a033417-cb48-47af-8df3-c2e85c8a4973,IMS and Sum Hospital,biryani,14699,Jugaad Jn,burger,15,14,25
62062cf9-7099-4d0c-b4e5-f2ff1062be90,Smt NHL Municipal Medical College,burger,2927,McDonald's,burger,17,11,6
dcf34062-ffd2-4860-8e57-fe6dd25618c0,IIIT Kottayam,pizza,7671,Pizza Hut,,11,19,24
0fbddaee-8029-4f58-9bc6-eb3ba3e45203,Rajendra Institute of Medical Sciences,biryani,5806,Seasons Restaurant,biryani,10,28,55
1193f77e-a188-4e82-8a50-d88dc06a8e68,Reva University,biryani,10411,Burger King,burger,21,9,31
a9d6de4a-9d70-4aa9-882a-e9741f4ac2c8,Dibrugarh University,biryani,3778,Fusian Asiana- MFC,roll,11,15,62
525c9625-6851-4182-bb7b-79ece9bc3635,KS Hegde Medical Academy,biryani,4659,KFC,burger,11,18,25
c0v8d83mud18qpl383l0,SCB Medical College And Hospital,biryani,7414,Biriyani Box,pizza,13,18,102
1fce9df4-4feb-4804-aaa4-16d33daa6c43,TA Pai Management Institute (TAPMI),burger,4422,McDonald's,burger,15,28,35
d508fa98-8194-4604-a590-f06d337a18ca,Indira Gandhi Institute of Medical Sciences(IGIMS College),biryani,13027,Burger King,burger,14,19,27
ff969119-5b18-4dcc-b631-66adacddb562,JSS College Campus,biryani,5266,McDonald's,burger,12,13,30
brjo4ajo07cs2k5c83kg,Somaiya Vidyavihar University,burger,4417,McDonald's,burger,10,22,10
c0e3oq89tt4h2ptrvjd0,Madras Medical College,biryani,7698,Zaitoon,other_dry_starters,36,9,22
f4669457-b007-41ee-90e9-8a08b21c0767,Bharath Institute of Higher Education And Research,biryani,6667,Zaitoon,fried_rice,19,10,22
c61093ee-be95-4886-af17-90ef70c22c2b,University Of Lucknow,biryani,13633,Rominus Pizza And Burger,pizza,16,27,25
40fda95b-01b9-429e-aa85-22b950dd96a1,Aarupadai Veedu Medical College(AVMC),biryani,5690,Herbyo multicuisine Restaurant,biryani,15,9,21
35b6fad6-16ff-4f1b-be4b-0420028b7109,Shri Guru Ram Rai Institute of Technology And Science,burger,3442,Burger King,burger,13,16,11
0e389805-a227-478d-998b-a70ab13153ba,AIIMS Raebareli,pizza,3549,Bati Restaurant,taco,12,36,24
c3455135-ddea-4102-b733-42ce756029ad,Dr Ram Manohar Lohia College & Hospital,biryani,7447,Madhurima Veg,pizza,27,25,17
5a246d42-9cbd-44c0-ae2b-970c8ccb4214,Indian Institute of Technology Patna(IIT Patna),pizza,4326,La Pino'z Pizza,,12,40,20
cb1c31e4-770c-4405-85e7-18303ea36e4e,Pacific Medical College And Hospital,burger,5448,Rominus Pizza And Burger,pizza,14,23,23
c0v861jmud18qpl3809g,Symbiosis International University,burger,2952,McDonald's,burger,16,9,19
9a4ce118-d089-4ac6-958f-309548981631,Gandhi Institute of Technology and Management(GITAM),biryani,7587,Biryanis And More Yendada,biryani,11,15,123
a28caf95-6af1-45d0-b9d0-e390392cc53c,Narayana Medical College And Hospital,biryani,8221,Asli nellore family dhaba and restaurant,fried_rice,12,8,34
59a41ac0-b023-499d-ab5e-056ad372a151,JSS College and Hospital,biryani,6712,McDonald's,burger,16,9,23
2dd590c3-bbd7-415c-a310-aa1f73d65931,IIT Bhubaneswar II,pizza,3986,The Chopsticks,pizza,11,45,16
58e3c3e0-731f-4a8b-9b8f-a21748427699,Maharshi Dayanand University,pizza,3559,Pizza Choice,pizza,16,54,10
7c290da0-719f-4195-8159-333f952a6de9,Mamata Medical College Khammam,biryani,4065,Udupi Ahaar,biryani,16,10,40
02dbc6fa-c0b0-4c3b-9699-79d7c1645294,Siddhartha Medical College,biryani,3452,Bengaluru Bhavan,biryani,15,10,52
8225bc01-0783-4ad7-9265-d54dea84d0cd,IIT Ropar,biryani,4373,Shagun Dhaba,,12,27,38
5686774a-6c39-4c46-916d-c41f721a310a,GMERS Medical College & Hospital,burger,6559,McDonald's,burger,20,22,8
dec369cb-e599-4b1e-bf53-6fffbef17e2e,Chandigarh Group of Colleges,pizza,8577,Captain Sam's Pizza,pizza,15,269,20
c0v88lbnrs5psrn7j13g,NRS Medical College & Hospital,biryani,7833,Zam Zam Restaurant,biryani,19,10,28
a84f33d4-e44b-478b-8e9e-e1da53b11e6e,Ganesh Shankar Vidyarthi Memorial Medical College(GSVM Medical College),pizza,7183,Rominus Pizza And Burger,pizza,15,35,25
0cc05f34-eaab-48e8-a20d-f01f6dfa4162,Jamia Millia Islamia University I,biryani,6191,Zahra Restaurant & Cafe,burger,12,19,66
72556872-2e16-431d-a257-2e22aa7e8697,Gauhati Medical College and Hospital(GMCH) I,biryani,3284,Burger King,biryani,21,11,19
c0e3n589tt4h2ptrvhtg,Jawaharlal Nehru Technological University Hyderabad (JNTU),biryani,5298,Mehfil,biryani,22,10,140
74330875-6e62-4b2b-a889-ef78e6e94356,MKCG Medical College And Hospital,biryani,7897,Nandan Hotel,burger,17,11,58
79bca31d-f9d5-4c52-a8c7-2ddc70da6890,Sawai Man Singh Medical College,pizza,11783,Rominus Pizza and Burger,curry,15,23,16
9076847f-052e-4db3-81de-eeca28ae4ef4,Government Medical College Aurangabad,biryani,6241,Bodhkhe Kaku Swyampak Ghar,pizza,12,19,27
315ce3bc-b082-4ad7-808a-0193ec022d98,ASRAM Medical College & Hospital Eluru,biryani,8169,Orange Restaurant,biryani,12,7,95
2e7f7ab3-3f99-42da-8d80-c88909c0010c,Dr BR Ambedkar Medical College & Hospital,burger,5762,Punjabi Angithi (Vegorama Group),burger,21,13,14
bui4bqmpej7fsal2ptvg,Gautam Buddha University,burger,5422,Hungry Fox Cafe & Restaurant,burger,11,59,19
289f7580-19ca-4467-8abd-de0ea4ce125b,Sri Siddhartha Medical College,biryani,4732,M' Crunch,maggi,19,18,26
a7daa716-c51f-410c-a72d-1e73d358b588,National Law University,burger,8727,Domino's Pizza,burger,13,19,9
6a353a1b-ca30-4dd3-8fd3-ad38db1930bb,SV University,biryani,5047,The Paradise,biryani,12,10,149
d806383b-e8d0-4109-82d0-553423da733e,ACSR Government Medical College And Hospital,biryani,4100,A2B - Adyar Ananda Bhavan,pizza,15,14,27
ca57c167-dbb9-4d3b-91ce-d99ea1e9a4f0,Pushpagiri Medical College Hospital,biryani,4158,The Beirut Blends,,20,8,16
0bfaa9a0-b06c-45cd-95c0-2f3725cc7108,BV University Pune,burger,13058,McDonald's,burger,17,15,13
ff80d68d-1241-4119-9312-8c583291d53d,KLE Technological University,biryani,2923,McDonald's,pizza,12,22,49
btd11ql8o0r16ibrro30,PES University Electronic City Campus,biryani,7056,Truffles,burger,14,12,28
0fb4d6d5-9cab-4018-bb9b-575fb3383717,ESIC Medical College & Hospital Faridabad,pizza,10680,Annapurna Pure Veg,pizza,18,16,13
c0dem5g9tt4h2ptrulqg,Institute Of Child Health,biryani,9214,A2B - Adyar Ananda Bhavan,juice,19,5,17
23a278b2-d374-4a91-ae67-7300b086ce28,Andhra University,biryani,5285,New Satyam Multicuisine Restaurant & Takeaway,biryani,11,9,104
2d60ae8c-5d40-494c-870e-2d238ee6a5ef,Sri Sivasubramaniya Nadar University,biryani,8490,KFC,pizza,8,11,25
948c57ee-2982-4b50-a32a-571d68cd792b,Indira Gandhi Medical College and Research Institute,biryani,15682,A2B - Adyar Ananda Bhavan,biryani,15,10,18
07b8d44d-acb3-4a7e-ad5f-e23b35a3e4d5,IIT Guwahati,burger,4674,Burger King,pizza,14,21,25
f2a75146-7da0-4e69-ae40-cb5dff1198b8,Regional Institute of Education Mysuru,biryani,1927,Hotel Janani,burger,14,10,74
9ee6b530-e8f3-433b-9c56-ba2e505e073d,Government General Hospital & College,biryani,4532,Hotel Sri Sankara Vilas,biryani,21,7,24
c0v8cmbnrs5psrn7j38g,BHU Medical College And Hospital,biryani,15005,Roma's Cafe Diner,burger,24,15,17
c0cpdkg9tt4h2ptrtv60,Amity University Noida,biryani,15141,KFC,burger,15,9,26
5794f681-23de-4d9b-81f2-2b96c558fa9a,Indira Gandhi Government Medical College & Hospital,biryani,5353,Haldiram's Restaurant,burger,18,11,30
bs28lvqq624i2n3lmef0,Equinox Business Park,burger,15581,McDonald's,burger,23,18,16
d78973e0-3eb4-4d0a-9522-296e9b3dd4f9,GSL Medical College & General Hospital,biryani,4079,Priyanka Family Restaurant,biryani,8,17,132
a8b439db-1825-43df-8339-d99370b19e31,IIIT Allahabad II,pizza,4522,La Pino'z Pizza,pizza,12,60,17
7ca37467-b2cd-4372-94d0-058de9ad93f9,Kurnool Medical College & Hospital,biryani,4445,Hotel International Food World-C Camp,pizza,15,11,26
d0da5ef4-3c6a-4196-956f-3a2334fa5844,Silchar Medical College & Hospital,biryani,6062,Aroma Cafe & Restaurant,maggi,14,9,18
35e9b20c-5cb6-4436-8e09-6b1aa453bb4a,Jorhat Medical College & Hospital,biryani,6607,Domino's Pizza,pizza,16,10,15
5a3cca1a-7a03-4801-95ce-d132546d2f37,IIT Dharwad II,biryani,5907,Copper & Pepper Kitchen & Bar,pizza,15,11,56
a3a40def-1524-4ba9-8d19-32061ddf35b4,Kumaraguru College of Technology,biryani,4793,KFC,curry,7,6,46
a9845838-c64c-4567-962c-ab4ac9abc3c0,Indian Institute of Engineering Science and Technology Shibpur (IIEST),biryani,6597,Bikkgane Biryani,pizza,10,14,56
7bf0e9bf-7893-4a91-b67b-d956df71ad37,IIM Lucknow,biryani,15334,Burger King,burger,14,29,36
bui4brqstu3qr1u8f5j0,Bennett University,burger,7198,Hungry Fox Cafe & Restaurant,burger,10,32,23
9792445a-6756-48a4-a25d-93ac3b02e380,SOA University Campus 4,biryani,5873,Burger King,burger,17,20,27
ec9b87dd-051f-4667-bf4f-3a746ba25bb2,KIIT School of Law,biryani,3402,Burger King,burger,16,13,18
ec963700-56d5-4e90-a208-51befe0ef900,BITS Pilani Hyderabad,biryani,8461,Tandoor MultiCuisine Restaurant,pizza,13,23,38
62f56922-3777-4e72-9c9e-878e58db43eb,Shridevi Educational Institutes,biryani,4956,Domino's Pizza,pizza,17,33,60
209d1740-a87d-4bbd-984f-f3257055ce4b,Silicon Institute of Technology(Silicon University),biryani,3266,Rolls On Wheels,burger,12,15,92
c0derkgmlbnfmjbvg5h0,Sir Ganga Ram Hospital,roll,15122,McDonald's,burger,17,12,9
f903b901-9248-4a88-90f4-339a7b30cf80,Amity University Kolkata,biryani,6593,KFC,burger,16,7,18
